"temperature" "jour" "ventes"
21 "S" 25117
26.6 "J" 22383
20.2 "L" 19076
14.9 "J" 13451
17.5 "S" 24633
24.6 "V" 20866
20.7 "D" 32469
17.4 "Me" 15192
14.9 "D" 27818
20.2 "D" 31261
30.6 "V" 24308
29.8 "D" 42244
28.2 "S" 32899
23.2 "L" 18807
20.7 "L" 17856
20.1 "L" 17865
15.3 "L" 15622
25.3 "S" 29756
12.3 "S" 19158
35.4 "Me" 29982
11.8 "L" 14836
15.1 "V" 15060
18.8 "Me" 16992
25.6 "V" 21452
14.6 "D" 26186
25.4 "D" 35775
14.5 "L" 12866
14.5 "Ma" 15030
10.1 "D" 22303
22.3 "S" 27465
20.6 "V" 18341
20.3 "J" 16375
8.5 "L" 22238
25.1 "Ma" 22110
17.7 "J" 18243
16.2 "L" 15498
14.5 "V" 15176
8.4 "J" 19336
25.4 "V" 22595
29.9 "D" 41425
18.5 "Ma" 17672
16.8 "S" 21569
13.3 "D" 25079
16.7 "Me" 15081
23.4 "J" 20555
27.6 "Ma" 24509
32.4 "S" 36444
6.8 "Me" 11691
15.3 "D" 25944
21.4 "J" 19282
17 "V" 15548
16.9 "J" 17474
23.9 "Ma" 21304
17.5 "S" 24321
29.4 "D" 42749
20.1 "Me" 18944
19.4 "Ma" 17150
23.7 "Me" 21204
22.5 "V" 20550
23.7 "L" 19622
20.2 "Ma" 19419
25.4 "L" 21323
16.8 "D" 27950
10.9 "Ma" 13697
13.4 "Me" 16474
18.8 "S" 23078
14.3 "Ma" 15156
17 "L" 17062
22.8 "J" 21782
21.9 "V" 19040
17.5 "Ma" 14544
25.6 "Ma" 21594
23.8 "J" 20747
22.3 "Ma" 19533
14.7 "V" 16064
20.3 "V" 19033
19.2 "J" 17166
28 "Ma" 22463
17.9 "Me" 16495
14.5 "S" 21168
23.5 "J" 21135
21.1 "Me" 17640
23.5 "S" 26731
32.7 "L" 29165
25 "V" 20421
24.3 "D" 36381
11.1 "D" 22452
20.4 "J" 19874
17.2 "V" 16484
15.2 "D" 26619
22.4 "V" 19429
24.5 "S" 27884
24.9 "L" 21093
18.7 "S" 23513
16.2 "L" 15541
23.4 "Me" 19819
26.1 "J" 21772
17.6 "L" 16684
18.2 "Ma" 15640
21.1 "Ma" 15540
21.6 "V" 18743
24.7 "V" 21260
27.2 "J" 24190
20.1 "Ma" 17956
30.4 "S" 35062
20.6 "V" 18249
13.2 "S" 19667
21.2 "S" 24942
23.6 "Me" 20783
21.9 "S" 27167
34 "Ma" 47173
23.3 "V" 19558
28.1 "D" 40501
20 "Ma" 15966
22.5 "L" 17607
17.3 "V" 14634
11.9 "S" 17316
26.8 "Me" 22253
28 "V" 23810
20.3 "Ma" 19491
15.8 "Me" 15314
13.1 "Ma" 14565
22.9 "S" 27695
17.7 "J" 17491
23 "S" 28022
17.9 "D" 28804
19.2 "S" 25399
18.3 "S" 23435
18.8 "D" 28276
18.8 "Me" 17731
16.2 "J" 18145
24.7 "J" 19762
17 "Ma" 14530
17.2 "S" 22694
16.1 "L" 16762
25 "D" 35613
18.9 "S" 24137
14.1 "V" 15729
11.7 "S" 19942
13.5 "L" 14327
19.9 "L" 18185
15.2 "Me" 15385
16.2 "J" 18197
23.8 "Me" 22981
13.4 "Ma" 13814
22.4 "Me" 19212
18.8 "Me" 16581
18.9 "J" 18681
