"LYON ST EXUPERY, FR (FR069029001)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1920-09-01,,67,48,0.00,,
1920-09-02,,68,48,0.00,,
1920-09-03,,62,49,0.06,,
1920-09-04,,72,55,0.00,,
1920-09-05,,75,58,0.00,,
1920-09-06,,76,57,0.00,,
1920-09-07,,73,48,0.00,,
1920-09-08,,73,49,0.00,,
1920-09-09,,87,46,0.00,,
1920-09-10,,83,55,0.00,,
1920-09-11,,77,51,0.00,,
1920-09-12,,81,44,0.00,,
1920-09-13,,80,43,0.00,,
1920-09-14,,74,48,0.00,,
1920-09-15,,77,44,0.00,,
1920-09-16,,80,48,0.00,,
1920-09-17,,72,53,1.24,,
1920-09-18,,73,55,0.37,,
1920-09-19,,66,,0.12,,
1920-09-20,,,48,1.36,,
1920-09-21,,70,51,0.59,,
1920-09-22,,65,45,0.24,,
1920-09-23,,61,54,0.98,,
1920-09-24,,66,55,0.06,,
1920-09-25,,58,53,0.28,,
1920-09-26,,67,54,0.04,,
1920-09-27,,65,48,0.00,,
1920-09-28,,60,50,0.00,,
1920-09-29,,72,45,0.00,,
1920-09-30,,75,46,0.00,,
1920-10-01,,75,59,0.01,,
1920-10-02,,70,56,0.13,,
1920-10-03,,62,52,0.31,,
1920-10-04,,74,43,0.00,,
1920-10-05,,75,52,0.00,,
1920-10-06,,79,54,0.00,,
1920-10-07,,79,58,0.00,,
1920-10-08,,71,55,0.00,,
1920-10-09,,63,53,0.02,,
1920-10-10,,72,51,0.03,,
1920-10-11,,62,55,0.00,,
1920-10-12,,68,53,0.00,,
1920-10-13,,73,46,0.00,,
1920-10-14,,65,53,0.45,,
1920-10-15,,64,46,0.00,,
1920-10-16,,62,43,0.02,,
1920-10-17,,68,51,0.01,,
1920-10-18,,70,52,0.20,,
1920-10-19,,54,49,0.00,,
1920-10-20,,50,46,0.00,,
1920-10-21,,53,46,0.00,,
1920-10-22,,53,44,0.00,,
1920-10-23,,53,44,0.00,,
1920-10-24,,56,34,0.00,,
1920-10-25,,58,41,0.00,,
1920-10-26,,58,36,0.00,,
1920-10-27,,47,41,0.00,,
1920-10-28,,58,34,0.00,,
1920-10-29,,56,32,0.00,,
1920-10-30,,60,30,0.00,,
1920-10-31,,59,38,0.00,,
1920-11-01,,57,39,0.00,,
1920-11-02,,44,36,0.01,,
1920-11-03,,47,34,0.06,,
1920-11-04,,52,33,0.00,,
1920-11-05,,48,31,0.00,,
1920-11-06,,55,36,0.00,,
1920-11-07,,40,31,0.00,,
1920-11-08,,41,36,0.00,,
