"B","T","E","X","X9_ane","X10_ane","X13_ane","X14_ane","X1_M_2_PA","BTM","FormicAcid","aceticacid","NonaDecanoicAc","Tot_OcNoDecana","TYPE","SAISON","Campagne","Localisation"
-1.2957182368386,-1.21351077172534,-1.8313347842989,-2.00068327809879,-1.70020539363645,-1.66993793326127,-0.963290299839652,-0.971663319620346,-2.07276519613643,-2.56488318166401,-1.47270413355014,-1.53589887672084,-0.922990774482952,-0.706984994999121,"rural","hiver","BF2","P19"
-1.56338158282003,-1.2558081536381,-1.73187082024565,-1.85845749101037,-1.44723836826258,-1.52928594273095,-1.16499593641995,-0.932575548080508,-1.31261409532318,-2.0375306669957,-1.57550717279791,-1.95880839402295,-0.762915612790073,-0.641671741652231,"urbain","hiver","BF2","P21"
-1.09854803071052,0.0712067349352444,-0.742305246576386,-0.968320965389945,-1.16455128189905,-1.32329537500851,-1.33038369520765,-0.978584499236108,-1.18225682158674,-1.0459076967539,-1.34605897183356,-1.41736095484935,-1.66635883234919,-1.05728758432674,"urbain","hiver","BF2","P17"
-0.832635926656127,-0.451526619347469,-0.966557265865984,-1.04593175550504,-1.22130544464303,-0.801449149677345,-1.43837885796528,-1.27217178063349,-1.88463270264403,-0.531900974621391,-1.3447505328074,-1.50249181961515,-2.03315087653638,-1.10323551546614,"urbain","hiver","BF2","P20"
-1.74676152355329,-1.49353432462265,-1.5965373679721,-1.77665434361303,-1.46952897645493,-1.50710132804261,-1.63260574286582,-1.07824201958528,-2.07774915605855,-2.36281040965528,-1.40365320939048,-1.28136679291727,-0.567243328180355,-0.792544678266913,"compostage","hiver","BF2","P01"
-1.66948389566914,-1.38386409107491,-1.39779877478451,-1.51639056659348,-1.88707244932499,-1.4745123063419,-1.52589255954545,-1.49991069143584,-1.90350245262659,-0.481786586346967,-1.59844455498236,-1.63706251553061,-1.40006165889722,-2.71302255779082,"urbain","hiver","BF2","P05"
-1.63771210293355,-1.64329981221265,-1.67849060424337,-1.85711334618892,-1.30785798151453,-1.51578988836784,-0.819603489100235,-0.852158543644466,-2.00876186818709,-2.1227821598083,-1.38544570482734,-1.62927421847389,-0.631490788021372,-0.286838197553253,"rural","hiver","BF2","P06"
-1.50252824933457,-1.61405869448,-1.95106495572134,-2.20098015053895,-2.39531888669946,-2.16318884941271,-1.5739396722611,-1.39843600387013,-2.19687315343969,-2.46504156782752,-1.57372210441888,-1.59870458514731,-1.26773620867118,-1.49669095596732,"rural","hiver","BF2","P07"
-1.44313177554501,-1.37811710406557,-1.7247840917709,-1.93900897118863,-2.01716488210271,-1.94962859656602,-2.07605074802355,-1.64355223279299,-1.96676417441866,-2.21198669960805,-1.60528664797056,-2.34946033849802,-1.88176800448191,-1.91927683346231,"rural","hiver","BF2","P03"
-1.5542528189706,-0.74264428584368,-0.840118113338553,-1.09173949353758,-1.76472700380295,-1.74724565635571,-1.37154623612894,-1.38421408444076,-1.24714627702794,-0.929910424670211,-1.62815640665656,-2.40704631626263,-0.706072033361979,-1.04954502866381,"rural","hiver","BF2","P08"
-1.44171002605058,-1.57264753400216,-1.67786490187639,-1.91828463586878,-2.01640484837314,-2.24997786939398,-1.79414941114666,-1.8657272696245,-2.08305179437784,-2.39226667489684,-1.32314256531765,-2.0741132679609,-1.75253769626029,-1.06610574715509,"rural","hiver","BF2","P13"
