"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X32" "X33" "X34" "X35" "X36" "X37" "X38" "X39" "X40" "X41" "X42" "X43" "X44" "X45" "X46" "X47" "X48" "X49" "X50" "X51" "X52" "X53" "X54" "X55" "X56" "X57" "X58" "X59" "X60" "X61" "X62" "X63" "X64" "X65" "X66" "X67" "X68" "X69" "X70" "X71" "X72" "X73" "X74" "X75" "X76" "X77" "X78" "X79" "X80" "X81" "X82" "X83" "X84" "X85" "X86" "X87" "X88" "X89" "X90" "X91" "X92" "X93" "X94" "X95" "X96" "X97" "X98" "X99" "X100" "X101" "X102" "X103" "X104" "X105" "X106" "X107" "X108" "X109" "X110" "X111" "X112" "X113" "X114" "X115" "X116" "X117" "X118" "X119" "X120" "X121" "X122" "X123" "X124" "X125" "X126" "X127" "X128" "X129" "X130" "X131" "X132" "X133" "X134" "X135" "X136" "X137" "X138" "X139" "X140" "X141" "X142" "X143" "X144" "X145" "X146" "X147" "X148" "X149" "X150" "X151" "X152" "X153" "X154" "X155" "X156" "X157" "X158" "X159" "X160" "X161" "X162" "X163" "X164" "X165" "X166" "X167" "X168" "X169" "X170" "X171" "X172" "X173" "X174" "X175" "X176" "X177" "X178" "X179" "X180"
"1" -6.3837 1.4492 -2.5855 0.392 -2.442 10.5174 -0.0496 6.8996 -5.4403 -3.4062 -1.5239 -6.6307 0.4158 -0.304 4.3227 4.4593 -3.6749 -7.3734 -2.6168 -0.1224 -6.0351 -0.815 4.7208 4.7163 -14.1271 8.4431 10.155 3.4714 6.0345 -1.8987 6.734 4.0636 -2.6974 -4.1007 -8.0497 -3.8244 1.3379 -2.6425 4.9039 -4.8267 -1.4012 -7.7791 -3.1115 -0.9129 2.9677 -1.2439 -3.996 -3.4594 5.832 8.3963 3.4758 -2.7921 4.4401 0.3952 8.7762 -1.4044 -4.6663 -1.36 4.3818 -4.6689 -1.0252 0.0117 1.0368 -2.9521 -4.3982 -1.0446 -4.0426 4.8724 1.6541 7.7561 -3.219 -1.4445 3.7906 -0.8298 3.2838 8.9854 -0.7535 -2.1237 3.2025 -2.8552 -4.4987 7.7405 6.0128 6.8264 -2.3233 -8.196 -5.258 -0.2763 -11.092 -1.4797 -14.5763 0.6667 7.4128 -3.2128 -0.8522 1.1925 -6.6535 -7.9363 -6.0002 -7.3965 3.3116 6.7702 3.6702 -4.1177 4.0552 1.4581 -1.7719 -10.2314 -2.8149 -3.1278 -1.6435 -1.879 2.1979 -0.9404 1.9654 3.4591 -2.8575 -1.097 -0.3175 -0.8638 -10.1358 3.6829 1.4786 3.7143 -2.4443 -1.4856 3.8594 -5.6836 2.8937 0.9307 4.0628 -4.3389 -7.6072 -8.8297 -3.5119 -2.4864 -5.3002 6.3975 5.7093 -0.4103 5.2095 0.3266 -4.7134 -1.2619 -9.6264 5.838 0.2085 3.4158 5.1718 3.4856 1.3522 9.4629 4.2887 -0.0659 -4.0742 -3.4551 -10.9178 -0.5949 4.5575 3.5439 1.0198 2.573 -1.8042 -6.0802 6.9732 -4.4948 6.2929 0.9506 -7.8478 -0.0212 -1.4479 2.6666 -4.3375 -4.2035 -2.89 1.6564 0.5499 -3.5397 -2.0444 -1.5068
"2" 1.4535 12.3489 9.085 -0.4641 2.9683 -6.2035 -0.9156 0.7662 2.4661 1.989 2.4114 1.4592 0.0255 0.7868 -2.8548 -8.265 -1.5596 2.903 -8.2153 -1.1431 8.7133 -0.7875 6.5992 -8.5124 -4.1673 5.6464 -6.7019 6.8629 -3.6364 2.8516 -4.0433 0.4414 -1.0688 -0.7535 2.4402 -0.0097 -3.2545 6.9006 9.6276 -1.5342 -1.4254 2.5008 -0.4391 -0.9744 2.2196 -5.6176 5.4831 -2.0147 -2.7773 -4.5532 -4.3306 -9.1387 0.0728 -1.0509 -10.2219 -9.7859 -8.0856 -7.3641 2.1613 2.8966 1.1107 -5.1224 0.5363 -1.6984 -2.6977 -3.2622 2.9156 -1.791 -2.4091 2.6671 3.2429 -0.4477 -5.6222 -2.4366 0.5698 9.1438 2.3969 1.4542 0.3788 -5.1985 -5.6485 7.6504 -2.5684 5.6669 -4.2819 6.159 -7.5522 6.5262 -1.5492 10.3501 -2.0664 -1.0917 -2.4297 4.8237 -3.1213 3.7364 0.9284 1.6964 4.5876 -2.9676 -5.5855 -0.3696 -2.0449 -1.6951 0.8361 -1.8221 2.0401 1.1676 -2.4045 5.0887 -5.2271 -4.3831 8.8414 4.9869 0.6179 -2.3059 -5.0562 1.9685 -0.2844 8.1815 2.8461 -7.0832 3.256 3.0349 -8.4807 -9.3509 0.2882 -0.924 -3.0993 3.5622 5.5233 -3.6952 -0.4257 -9.6115 8.5438 6.8144 -1.3699 2.5915 -4.51 7.2816 -5.7704 -4.6897 -0.7145 1.4 2.6855 -5.3941 -1.7829 -0.7066 4.6813 0.6128 2.7825 5.492 -5.1024 -1.6894 1.8234 -1.2085 -2.7442 -5.5339 -6.91 -7.452 -0.2954 5.8528 -3.0285 5.7102 2.8932 -1.0363 0.7443 0.9227 7.3386 0.1437 0.0101 0.873 3.2069 -0.469 -0.9383 0.2457 0.2774 -0.7488 8.3108 -5.4299
"3" 3.8635 -3.1231 5.7329 3.5754 3.0533 -2.6692 0.2098 -0.7722 1.3758 4.6722 -3.1206 -3.791 -0.7206 0.2381 -2.9156 -4.1728 -4.7638 1.2942 -1.5576 6.8887 -0.3568 -5.5015 -2.6789 -3.4366 -2.0027 0.4533 5.4403 -2.2384 -1.3441 9.3746 3.7471 -1.6319 1.7445 2.944 -2.0305 1.3914 7.5986 0.3594 -6.7416 -0.8209 4.2094 4.4613 -3.8566 -1.4579 -3.3321 0.8299 11.6989 -4.8098 0.4837 -7.3928 1.5118 1.8553 0.267 -4.1534 1.4294 -1.8973 5.7938 -4.6547 -7.1247 4.598 3.9171 5.8411 2.9611 0.9271 5.7312 4.1017 6.3029 -2.7926 5.7922 -5.4439 2.8038 -3.2991 9.7676 4.4884 5.1635 -3.4589 -5.4676 -3.6557 -1.2828 0.5961 -5.4784 0.3026 3.3355 0.2922 -3.4458 2.4141 -4.0544 8.4932 0.5365 8.8155 3.1855 -3.5932 6.0071 0.0667 -0.6767 -1.327 -7.8115 7.1478 -4.0189 -7.0449 -4.4434 -6.3158 2.2242 0.8763 -0.6294 -3.2454 0.7818 4.1305 1.6753 -1.6136 3.7144 2.9063 1.7248 -5.7519 -1.2779 6.7047 3.4127 5.7045 2.0036 0 -4.4069 -3.0167 -3.9171 -4.0992 -0.7153 -2.4754 -5.948 7.6641 3.0117 -2.8558 2.3736 -0.9529 -1.8078 2.8484 -0.1312 -1.5362 4.4239 -6.0884 -5.2093 -3.378 1.0823 -4.953 5.0411 7.0496 8.1879 1.1038 5.1459 2.9197 -0.5212 10.0672 4.605 -3.7294 -4.1099 -3.6976 3.4163 5.5341 0.7211 6.2589 -8.3339 -2.4703 4.9068 -4.2975 1.7025 5.329 -4.5771 -2.8541 1.6313 -5.6918 -8.3935 8.0593 -3.3975 3.6764 4.9557 -2.4216 -3.3521 2.7516 4.5569 5.4497 2.5535 1.5929
"4" 4.9458 7.2622 -3.932 2.7093 3.4915 1.7549 0.8942 -2.7521 4.4169 7.1102 -0.5739 -2.4226 -12.6826 -4.2435 7.8378 -0.8838 1.9479 5.5968 -6.3247 5.8211 -0.1237 -3.9141 9.6124 -0.7485 -1.863 -8.9419 -11.1559 -3.5047 -2.3695 -5.1028 -6.7259 1.6894 -4.044 -1.0995 1.2376 -0.097 7.2413 4.012 -2.4212 -2.9445 -1.4495 3.2779 -2.9727 -1.7831 -2.5055 -1.4983 -4.3215 -5.6882 -5.905 1.1201 9.1313 -4.2151 4.7103 7.3478 -4.2059 -5.554 7.4944 -2.1795 -7.9798 -4.2692 1.2365 -4.0688 3.3697 -2.6321 3.9317 0.038 -4.0491 4.4738 4.5885 -2.3993 9.4322 6.8928 1.0529 7.8168 -6.3893 -2.426 -3.3971 0.6794 -6.783 6.2113 -1.3762 -0.1279 -0.7714 3.4152 -2.418 -5.5794 4.9662 -2.8881 -0.332 1.2575 -4.578 3.0236 7.3802 -1.1012 3.8829 7.0619 0.2748 -1.8424 -10.2205 -5.6458 8.1066 4.6889 -0.081 6.359 -2.7044 -3.4101 -5.4131 8.0065 -4.4072 3.4153 -0.7851 2.6356 0.3822 -1.9259 -3.8466 4.8724 2.5086 2.9898 4.4881 3.3625 3.0161 -1.4024 3.0101 3.5649 -6.1165 -5.8819 2.0903 -1.039 -0.5414 -7.2194 4.557 -6.9654 -1.7061 -4.2251 -6.8944 5.1812 -4.2043 1.8995 1.5491 7.102 -0.3963 1.4537 -1.9766 12.4898 5.078 -7.0534 -4.8252 2.7548 0.0196 2.623 8.3186 -0.4272 0.0529 -1.2705 5.4132 0.1333 1.8004 -2.1115 -3.9278 -1.2273 5.7659 2.0313 1.4978 -1.3674 -5.0921 -3.7339 2.4826 0.2836 -9.8887 -3.2943 -4.8818 -0.4015 -0.0228 -2.2619 -3.7628 2.9407 13.4137 3.9309 2.5618 -3.0248
"5" -6.4254 -4.6463 0.928 0.3832 -0.1955 8.3279 0.102 -5.0061 -2.5923 -1.3853 -5.1823 7.4875 0.4805 -7.6362 2.4675 6.2603 -1.5558 -0.7779 -1.3219 5.4169 -0.2773 -1.3752 4.2641 5.0515 -3.0586 1.149 3.1479 -6.1916 -1.0812 5.4791 -2.3297 -9.633 -8.8432 6.6395 0.5636 0.8955 -6.8383 0.0409 7.7733 -5.9513 0.8075 0.654 1.5001 -6.2495 -1.6212 5.5569 5.6519 -7.0394 -6.0036 -3.3906 1.467 -0.6355 1.7771 -5.9061 6.8209 -1.4758 1.1986 -1.1884 8.0473 1.8547 4.931 -2.1914 -2.024 -2.6916 4.6984 -0.0575 -0.9175 4.1385 -2.3666 3.9193 2.1891 -0.4393 -2.6588 -5.9093 -7.3888 3.0842 -5.4294 -7.3916 -1.1634 -2.5821 7.2344 0.637 8.5003 -0.3721 2.1901 2.5532 -2.5762 1e-04 -7.1657 4.1816 2.7783 4.6081 0.0987 -7.7514 -1.691 -0.1915 1.127 -3.547 2.8521 -0.9399 -2.0511 1.8978 -0.2039 4.6527 7.641 4.7728 -4.3581 -4.4734 9.1148 4.7778 2.544 -1.1865 3.2659 -7.4276 -0.1621 -6.9654 6.6305 1.7794 -10.3676 5.4649 -1.5961 5.4134 2.3133 11.7954 -2.3095 -0.457 -1.1685 4.7088 2.4747 -3.6889 -0.7003 2.2824 1.0958 -6.6561 -3.1928 -0.1257 -2.1802 -1.2653 0.8799 6.4332 3.9613 2.7049 3.4596 -2.5953 -5.3393 1.9552 -4.4294 6.4 1.0786 4.7013 -2.2831 1.8459 -0.961 -0.1712 -7.9989 -5.6155 -1.8672 -0.5085 3.6402 4.2045 6.489 3.109 2.1116 -1.3038 1.9539 4.7531 2.6444 3.1701 -5.4995 2.0018 4.0965 1.8903 1.8493 -0.047 5.4548 4.4137 2.64 -7.7522 -4.7811 2.9367
"6" 2.2469 1.2485 -1.0461 -4.3162 3.5402 -3.3403 -3.5462 -2.8894 -3.4526 -2.8238 9.4708 -5.6199 -0.7368 5.0225 5.3336 0.704 3.5678 3.2979 -0.9444 -3.8321 -2.4648 -2.6651 -5.1575 1.0396 2.8594 -4.0754 2.7008 -1.5165 8.8215 1.7457 7.3067 1.9242 -6.273 -1.8898 -4.3385 0.3299 -3.6496 -4.6812 0.8781 12.0903 -8.0825 0.6316 -2.5972 3.9245 3.1851 2.521 1.2895 -1.5796 -2.5052 9.7126 -3.9221 -0.3676 6.5052 -5.4163 2.898 -0.3777 -11.0959 0.761 -1.2667 4.9759 -8.0009 6.6409 -1.0689 3.1189 -2.2577 -9.5984 -2.9833 1.8131 5.1965 -2.0755 -2.0072 4.7195 -0.5519 -7.2942 -3.1026 -5.1311 -9.6822 -5.9424 -2.1391 -0.6292 -3.6337 -4.5082 1.4844 -2.1457 -16.0888 3.4311 1.1765 7.0117 3.9911 -0.6826 7.8954 -5.7521 -6.1116 7.3093 3.1398 -2.4571 0.6104 0.8925 1.3087 7.965 2.0243 -5.248 3.0967 4.1251 0.1863 -8.9265 -5.3436 -5.5404 -6.2248 1.6785 1.7636 -1.6918 0.1685 0.9518 1.0686 3.8437 -2.1924 1.7802 3.1427 -4.7259 0.3953 0.4642 -4.3133 1.6988 -0.6956 -0.7042 0.0282 -0.7431 -0.3209 1.1529 6.0323 -1.3091 5.0838 2.5042 -3.9511 3.5004 -1.7367 4.2138 1.0642 -1.1525 -2.353 -6.8022 -1.721 -1.0634 -1.606 3.0393 8.1989 -0.9723 3.3945 -1.8487 -3.6631 -1.4424 4.3107 6.0236 -0.3978 1.8021 -6.0513 -3.6412 4.8341 0.6217 -4.7748 4.0275 -1.6737 2.1061 -2.5603 5.7961 1.6441 0.3227 2.6841 -3.6082 1.452 -2.337 -7.2496 -1.0414 1.8212 -4.6164 -3.3273 -2.987 -4.1844 -6.9279
"7" -1.3728 3.0768 3.278 5.9311 -6.2472 -2.1156 4.009 6.4376 0.4383 -4.3456 4.1075 -1.9453 6.4389 -2.2832 -10.4787 2.5459 5.616 -4.9866 5.6689 0.8567 -2.1208 -0.9589 2.5721 1.1767 9.2615 3.1101 -3.8361 -7.202 2.9041 -6.5813 -6.794 -2.8511 -0.4672 -1.6493 -2.2899 2.0313 0.3127 7.8512 -2.2141 -2.6393 -0.5016 2.2285 3.4974 -0.7458 -3.5265 -4.9252 2.7601 -0.6949 0.3007 -2.4423 -0.0333 7.342 4.1496 -0.0599 -13.6628 4.4567 5.8024 10.3141 -0.8458 -1.9919 -0.6907 -4.6115 -3.7067 2.1264 6.5191 2.1563 2.3416 -1.6103 -1.8733 -0.8617 2.3154 -4.3333 -2.7397 -4.3248 -0.654 -2.3563 -4.2138 -3.794 -3.6014 1.319 1.6966 -1.5653 -2.4826 -0.059 2.6787 6.3072 0.8016 -0.2706 -3.286 9.0319 1.9298 0.6839 6.5822 -6.1148 -8.3147 0.6964 -2.6413 7.3129 -5.8252 -1.8543 1.1989 -4.6523 -7.6085 3.8434 4.5492 5.4025 4.6349 0.6197 -3.4503 3.8439 -1.2416 2.4408 6.3182 -1.4685 -0.1719 -0.2241 -2.6223 -3.9208 3.168 4.9689 0.9997 2.7578 4.099 1.9375 4.3406 5.7433 1.2306 4.8248 -3.4486 2.3493 0.3634 -3.6518 0.6777 8.4109 -5.4572 -5.4762 -2.5187 -4.2035 3.5588 -0.5787 2.3582 -5.6576 1.9132 2.1166 -2.8308 -5.4357 -2.9226 2.7874 -2.6716 0.8912 0.5325 -1.782 -0.9323 6.4283 -6.4616 2.4085 2.1751 0.9168 -3.0502 0.8873 -5.5234 0.9695 0.5098 -0.4087 3.0264 0.9107 7.0519 -7.3689 5.6459 -6.1742 -4.3951 -1.6721 -0.0392 11.7653 -1.1798 6.6296 4.3284 2.0711 5.3266 -2.2451
"8" 6.3273 2.0815 8.7722 3.9582 8.5515 9.5914 2.6056 4.6585 6.3747 1.217 -3.3233 -0.7511 -6.6629 -4.403 -6.5586 9.1228 0.6364 0.8583 1.7085 0.1973 -1.4921 -2.1409 1.5104 9.6149 -4.9536 1.0084 0.7865 6.334 -2.4242 -1.6996 -0.9172 -2.4549 3.4144 2.3844 -2.8789 12.7303 1.9496 13.1441 11.1208 -1.0255 -2.8474 1.6889 4.3704 -1.423 -2.0015 6.2993 5.5843 -3.4564 -5.3279 -3.0498 1.8643 4.3234 7.5071 2.3049 -3.9835 1.5834 1.7428 10.9682 2.73 -4.5362 -5.0784 5.6695 -0.896 1.1455 -2.5323 -0.6229 -5.2235 1.4852 3.3378 6.8453 1.8653 5.42 3.0865 -2.9813 -2.2792 0.6384 0.1479 -1.1686 -6.409 -3.4459 4.6415 3.1806 0.9778 -2.5942 -6.1186 -0.7258 -1.7213 9.7432 1.6621 6.4725 -3.9162 6.1271 -4.9337 -1.0591 -9.3047 1.8131 -0.5232 -1.8362 2.824 0.0411 7.1203 7.4647 1.3968 -0.6199 1.3813 -3.1455 -1.9407 5.202 -8.5334 3.2719 5.2894 1.1177 -4.2138 -10.7875 2.465 4.9709 0.2737 -5.4073 0.7318 -3.4485 12.9476 9.9495 -3.1959 4.3123 2.3621 0.9546 4.4751 5.7393 -2.3397 -4.2515 3.0985 -2.5983 6.3197 0.7894 0.3098 -0.7678 -2.5478 -1.074 3.0665 0.7192 2.4767 -4.3683 4.0221 3.9654 2.6233 -1.1438 -1.9815 1.9789 -3.4699 4.5094 1.2902 -0.8752 1.7174 -1.8866 -0.4175 -9.6278 -0.5977 5.3134 -3.7512 10.0968 1.6784 -0.0725 12.6914 -1.744 2.0224 3.582 2.8258 -3.8429 0.8344 -5.7093 0.7634 1.5168 -2.8313 -2.0401 -5.5319 -6.7425 0.9383 -6.1623 0.2347 10.5074
"9" 1.7454 -2.9613 4.9306 1.604 -2.7996 -11.0108 -2.135 -2.395 -5.1714 -8.0172 2.0883 -4.4134 -1.6011 3.1261 11.8925 1.9949 4.1155 3.5405 -2.132 7.2849 8.8606 2.3158 -7.2471 1.5089 -3.6764 -0.4648 0.2927 -6.0399 0.5847 7.2123 -5.0114 4.3245 6.0166 1.36 1.0736 -3.3421 -5.0689 5.3789 -0.2461 1.6605 5.7899 -8.9145 0.2506 -4.9579 -10.2539 2.4698 -4.029 1.1839 -2.3997 -1.6169 -1.2928 -5.8815 -2.9427 -0.0802 5.7826 -2.3068 -7.1997 -2.8411 -3.6756 -13.9243 -1.7883 0.6061 1.5324 -4.7402 0.7327 6.6488 0.7779 0.1939 -9.86 -2.9301 6.3725 5.8407 5.1688 -8.0884 0.386 -1.0039 1.5859 -0.5408 -4.0329 -2.8763 -2.7233 -1.2953 0.5156 5.4526 -1.056 1.5341 -1.6222 -4.2551 -0.2198 -7.7581 1.4205 1.0366 5.7481 0.7177 -3.2092 1.2319 4.9832 3.8914 3.7053 2.1393 5.3792 -1.9647 1.2395 1.978 -3.1121 -2.543 -0.6427 3.4815 1.8724 -3.1038 5.8275 3.4388 -1.2244 8.0165 -1.1347 7.5065 -0.9553 -9.3625 -1.1354 1.7924 -0.5129 1.4928 -0.2579 11.5675 -2.616 -1.9345 1.7802 -2.4655 -4.9608 0.7833 5.9648 8.9796 -5.927 8.6544 -3.9872 -5.1701 3.1678 -3.0425 -2.4696 3.7841 -2.0461 -0.982 -2.407 8.4455 -1.3542 2.6838 2.9566 6.9868 -2.6875 6.8985 9.5273 3.0329 -1.4038 6.9464 -2.7362 -7.4997 -1.3864 -2.1713 -7.4427 1.2481 1.3287 4.4081 5.6638 -1.5614 1.0736 0.1314 7.8499 3.9184 2.4842 -6.432 2.3421 -6.2905 -5.0213 6.2083 -4.5818 -8.6394 -6.5268 1.0339 2.7974 -0.7901
"10" 5.4942 -2.4852 5.3523 3.4858 4.734 -1.9162 -3.7116 -5.9392 -2.3998 -1.0361 2.4726 0.3301 -0.1082 -6.6896 5.3317 -4.7668 -13.0648 6.6827 1.163 0.8346 -7.9937 -0.047 -2.9205 -5.2725 -6.9211 -4.5955 -3.8799 3.4042 6.4204 -2.1827 -4.3872 -4.3002 -3.4422 -5.5629 -7.0404 2.2424 3.334 11.3404 -0.9591 2.1025 5.37 8.2533 1.2177 -4.6463 -8.4736 -5.0736 -1.8961 -8.2005 6.6943 -2.0901 2.8771 -0.8015 1.7401 4.9853 2.5501 0.793 -7.5945 -10.1067 -4.334 -11.5315 0.7197 2.1407 -8.7553 -7.6567 0.1071 1.6042 0.2862 5.8102 -0.9979 8.0132 2.3186 -0.5504 8.8829 -6.9205 -0.4595 5.541 4.3038 8.5837 2.963 5.9041 -5.4931 -0.5641 -4.5492 -0.306 -2.7926 -0.9321 1.8279 0.5164 -0.1863 -0.3928 0.1311 6.3798 1.4948 1.3099 -10.1712 1.1094 0.4295 5.4863 10.2536 -0.6146 -0.3492 -3.4622 3.6315 -2.6777 -4.7598 2.5499 1.2079 2.2478 7.272 1.3413 2.9495 2.1013 -2.1724 2.2715 -1.0709 3.965 -7.1709 4.1276 0.0876 4.987 -3.3993 -4.9671 -1.642 -3.7421 0.6363 1.1329 1.019 1.3099 -3.2065 -1.0893 -5.2553 -0.1582 -3.2781 -5.2632 -4.4055 2.953 -0.8046 2.2888 -7.2887 1.4382 2.2135 -8.8961 3.6996 3.4371 4.2089 -0.8034 -0.2077 0.7062 0.1008 -4.9805 -2.8496 1.5354 0.0483 -5.7739 -5.9719 -3.1449 -3.0003 1.1064 4.6596 -5.4593 1.982 4.4984 -5.8395 2.2636 7.8996 -5.9003 6.6382 -4.1412 -1.9101 2.2065 -3.7556 3.5887 3.5549 3.7734 5.3771 -1.1414 0.3069 3.3177 -0.678 0.7796
