"y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X32" "X33" "X34" "X35" "X36" "X37" "X38" "X39" "X40" "X41" "X42" "X43" "X44" "X45" "X46" "X47" "X48" "X49" "X50" "X51" "X52" "X53" "X54" "X55" "X56" "X57" "X58" "X59" "X60" "X61" "X62" "X63" "X64" "X65" "X66" "X67" "X68" "X69" "X70" "X71" "X72" "X73" "X74" "X75" "X76" "X77" "X78" "X79" "X80" "X81" "X82" "X83" "X84" "X85" "X86" "X87" "X88" "X89" "X90" "X91" "X92" "X93" "X94" "X95" "X96" "X97" "X98" "X99" "X100" "X101" "X102" "X103" "X104" "X105" "X106" "X107" "X108" "X109" "X110" "X111" "X112" "X113" "X114" "X115" "X116" "X117" "X118" "X119" "X120" "X121" "X122" "X123" "X124" "X125" "X126" "X127" "X128" "X129" "X130" "X131" "X132" "X133" "X134" "X135" "X136" "X137" "X138" "X139" "X140" "X141" "X142" "X143" "X144" "X145" "X146" "X147" "X148" "X149" "X150" "X151" "X152" "X153" "X154" "X155" "X156" "X157" "X158" "X159" "X160" "X161" "X162" "X163" "X164" "X165" "X166" "X167" "X168" "X169" "X170" "X171" "X172" "X173" "X174" "X175" "X176" "X177" "X178" "X179" "X180"
"1" 1.3457 4.5305 -1.9703 7.3572 3.6563 9.002 -0.472 8.9972 4.6287 -3.619 2.4682 -0.9893 5.5927 -8.1209 -3.5896 -0.3582 -1.366 2.7337 -6.695 4.8021 2.2001 0.4942 0.4179 8.6095 -1.2607 -4.8056 1.0336 -5.9434 -4.4812 -1.1522 -8.504 10.424 0.6712 -1.6212 4.4739 7.598 -0.6456 0.0075 -1.8775 -1.1997 0.2638 -1.3001 -7.8879 -1.7171 2.2266 -2.4196 -1.8972 10.5191 -0.702 4.0239 2.5147 3.4117 -1.4166 2.1543 2.3981 0.1818 4.925 5.4699 -4.0045 -3.3757 0.616 -4.8844 -7.7733 -1.2638 2.7787 -3.087 9.633 1.6254 6.542 1.3189 -3.8063 7.1531 -2.741 -0.8648 -0.7132 2.1588 4.6072 5.4866 -0.7334 -5.802 -1.3427 7.6757 4.5246 6.2765 6.3923 0.1723 -5.4578 -5.6662 -0.7325 0.2028 2.5864 5.4115 0.0095 1.5786 -2.3499 3.181 1.1363 -4.1481 -5.3985 1.5773 0.4645 -6.432 1.3213 -4.0174 -3.3107 0.5286 0.4863 -1.795 -7.95 1.7551 -4.9109 6.8057 -5.5282 -9.5515 -5.8801 6.9205 -1.9039 0.6232 4.0928 3.1182 10.2567 0.1525 -1.3345 0.8768 -7.3599 4.9262 4.7744 8.0203 -1.6695 8.9747 2.3691 5.0938 4.2524 1.6821 1.6159 -10.2386 -0.9313 -5.2733 -4.1766 -0.8569 -2.5774 1.2697 4.8482 3.6989 1.8231 1.3087 -0.937 -2.3092 -2.1412 -6.304 -4.7821 3.0753 3.3203 3.2751 -8.5704 2.6552 -0.1743 -3.8729 7.1036 -3.0205 -1.3857 5.5564 -2.3207 -1.9765 -11.2859 1.9441 -1.3442 -3.8973 -4.5156 -0.3792 0.7692 2.1557 0.1399 -2.3511 0.0403 -5.3939 -3.9714 -1.1071 1.8479 0.3475 2.8516
"2" 26.6087 -4.0543 -2.3799 -1.6595 -0.1988 4.113 2.9657 0.6475 3.938 -2.5808 2.3673 -2.6765 5.0753 -6.167 3.0448 -0.0536 -0.1254 -2.2168 -1.6248 0.4266 -1.6207 0.7746 6.4385 -4.9496 -1.7842 0.4514 -4.7147 -8.4675 1.7952 2.1228 -2.9028 8.0377 -4.0909 -0.2984 -3.6821 6.845 -6.0014 2.5331 6.5421 -2.6519 -3.9849 -5.0941 -6.723 -5.6023 -8.893 1.6136 -0.7622 -1.9734 7.1236 -3.6115 5.4108 -5.4098 2.2606 5.7771 -0.7961 -3.466 -0.6013 8.7232 3.8083 -0.2259 1.6175 -4.2548 1.105 4.5299 2.7872 -4.5183 -3.9441 0.6933 6.2345 -1.8093 -7.0578 -8.8336 -2.2518 -4.7677 -0.3394 2.8415 2.5053 6.8441 4.7299 0.4466 0.053 -0.1723 -0.379 1.4045 0.2889 2.2326 -3.0636 -1.6552 -3.6565 2.1888 -3.4423 -0.9038 -0.7895 -6.0855 -0.5293 3.9584 6.0616 -7.0053 -8.8409 -2.7324 0.1186 -7.7792 0.9626 -0.4186 6.1725 5.4973 -2.4362 4.1114 -6.843 -4.7664 8.3955 -2.0422 9.395 -1.4753 -1.5179 0.433 -4.4499 3.8062 -5.6777 6.5304 5.2706 -7.2489 -0.9284 3.7755 3.2124 -1.5374 1.0933 2.9779 1.5694 2.7943 -0.1694 -2.0085 0.0671 -6.4479 0.1407 3.4609 1.1942 -3.9241 1.0739 2.9346 -5.8456 3.1912 -3.9841 -1.7577 -5.0875 1.0822 -2.1337 11.5331 -1.713 -0.5682 -1.5901 8.1776 0.6299 -7.2329 0.2363 2.5475 -4.5844 -5.6816 0.6168 3.7215 -2.7765 -1.4664 2.5283 -4.7998 0.6511 1.6638 -0.1972 -6.6692 -0.184 2.5398 5.6472 5.6373 5.6364 2.6636 0.8438 3.4257 -0.2029 -2.4876 -3.0263 -2.4431 6.0188
"3" 7.574 -2.7079 6.2866 -3.3752 -6.0133 3.0018 3.6914 5.1457 2.6214 2.6916 -1.2794 -1.5886 2.9739 4.4344 2.5328 3.2751 4.923 2.0173 3.9341 -5.7425 0.3269 -2.6241 2.6953 -12.0166 6.2644 -3.2323 0.2973 -3.9417 1.9233 1.1477 -5.5392 9.0617 -0.1864 2.569 10.6916 1.5253 2.7477 -3.5506 0.339 0.8273 7.7288 1.8244 -1.1768 3.3104 -1.9101 4.091 -2.0043 8.3314 -0.0812 11.7586 -11.5097 0.0656 3.7901 -0.4282 -5.7327 2.7298 -4.6194 3.6812 2.4693 2.7829 -1.4729 1.3607 -4.6317 -3.2971 -1.0927 1.3483 6.2199 -1.8234 3.7552 0.811 -0.0887 1.0333 0.628 12.6175 0.9117 -3.2155 -6.614 0.0584 2.1493 2.0749 -11.9811 -0.1811 1.4417 8.0207 5.2262 1.5517 -4.8204 2.8229 -3.5863 -1.5784 -2.9725 -10.9926 -8.5011 0.285 -4.7464 2.0094 -3.982 8.3149 -0.7928 -4.8439 0.8673 4.8669 4.8807 -3.6923 -6.3164 6.6593 7.2366 4.1053 -2.2165 2.5579 0.7353 9.4456 -4.4003 -1.6078 -4.6826 -2.7702 -1.6914 6.3582 13.0486 0.0161 -1.6955 -4.3784 4.9514 1.4754 -8.364 -4.6017 -5.7996 2.0647 5.5725 -2.3585 5.913 1.086 -3.8294 -0.15 2.3658 -0.5887 -1.3945 0.0613 7.9509 4.2832 -2.7889 -4.0084 5.2193 -8.9081 8.4585 -4.8833 -5.8146 -3.828 -6.9947 0.4511 4.5272 -2.9685 -5.0489 -3.3173 -2.2042 -2.4248 -2.5074 5.0267 0.9854 -3.8074 6.3313 8.351 0.2137 -3.0987 -3.5776 -1.1192 5.1759 0.2003 2.5527 11.3882 -0.5768 3.0223 0.1931 -0.6057 2.2223 -3.2737 -4.5025 4.7374 0.4546 -1.1396 10.1036
"4" -24.8581 -1.2952 -6.3893 -2.8112 -1.5128 4.7386 3.709 0.0804 1.739 -2.1332 -2.1532 1.9042 4.805 -0.6194 4.0257 -3.3422 -1.0402 3.2841 -3.4415 4.668 6.8462 -4e-04 3.4695 -5.1984 -0.6273 5.3133 18.0888 -1.2653 5.0501 2.1155 2.8861 -8.8693 0.4899 -3.4433 -2.3186 -3.4118 -1.564 -2.6982 -8.5419 7.6776 -9.3159 -0.9741 1.0954 -5.4042 -1.4298 1.2255 2.0451 2.8806 -4.2666 3.6305 3.44 0.9826 1.8172 -3.4159 -4.6883 -5.0931 4.4497 0.2661 -3.349 -5.3786 1.9856 -0.7946 -4.7164 1.4942 -8.2215 -7.672 0.052 10.7351 4.6228 -3.1088 4.7596 -2.1178 1.9938 -3.1513 -7.2229 -6.1572 -4.9964 -3.3167 3.0516 -2.6911 0.5837 0.9296 3.0769 -6.5226 5.1765 3.0774 -1.4211 1.9346 6.4396 4.7436 4.7079 5.7669 3.1285 6.5186 -4.2113 1.1709 -2.4968 -2.5218 8.0464 0.9335 -5.3029 4.7184 -3.5687 5.0407 2.2481 -1.0862 6.2873 -5.5474 1.9726 0.7383 -2.384 -1.4266 -8.6085 -3.989 -5.437 -2.524 -2.6945 5.4901 -1.2625 2.7324 4.84 0.7648 -0.3058 -2.1307 6.8977 5.2582 4.1961 -0.3337 5.3648 2.6101 -0.864 1.5371 3.311 -6.0527 -2.6417 -0.9773 4.5566 -1.5107 -1.4417 -0.4044 7.8666 -9.2421 -2.3176 -6.8547 6.6181 -0.9295 -1.5558 2.875 -2.1729 -2.7669 -0.5759 -1.7825 3.2858 -1.4723 -2.8955 0.486 -2.2481 5.6204 -6.322 -5.8577 0.1495 -7.2363 2.8771 5.7167 1.9538 -0.1423 -0.8151 1.0276 1.4356 -1.8704 3.6319 0.6914 8.3856 0.1476 0.8937 -3.0235 0.1341 -4.2242 -3.5628 -0.7951 1.8733
"5" 1.4266 -1.7254 -12.9967 -3.4969 -4.0036 -4.9956 5.3387 -4.1064 -6.0834 0.7671 6.1163 -3.9988 2.8542 -2.1687 -1.3591 0.1498 4.3087 0.05 -2.6383 2.0065 -8.8901 1.5127 -5.3955 -3.1647 3.4529 -0.8847 -2.6122 8.8791 -2.2282 -6.3229 4.0309 -2.6058 -3.2143 1.294 -6.0764 5.4005 1.4199 -6.9291 5.7835 0.8599 8.0442 -2.9034 -3.0994 -11.4366 -5.5156 1.1119 -2.9436 7.5796 2.4067 5.9546 6.341 3.1087 5.1563 4.2285 5.1136 -0.3074 1.0097 3.1589 -5.5729 -8.1195 -0.1582 -6.1526 3.0535 0.3812 0.1631 5.8335 -3.3026 0.5163 0.5211 1.5805 1.777 -1.3087 7.8948 -3.1882 -2.9815 0.5392 0.7865 7.5958 6.693 5.6987 1.6349 0.1172 -3.535 -1.9538 -3.7586 -2.0564 5.6688 -12.2805 -0.6163 1.8172 2.0701 -6.6627 -0.195 -8.0671 3.675 -1.8772 2.5593 4.1245 3.4668 1.2759 -7.0142 0.293 -2.7331 11.4056 1.0081 9.0441 -1.1224 0.255 1.0831 4.1481 -2.9817 4.4093 -1.3159 -2.9357 -5.5319 -3.4208 -3.4491 2.3949 1.6234 1.9412 1.6453 -3.636 4.4958 1.7419 0.2567 1.1831 1.974 -3.4979 -6.7269 1.2407 2.3919 -0.8927 -1.4643 -6.1916 -1.5226 -1.4353 -6.1017 -2.5405 0.2473 -5.4951 -5.8541 -2.0481 2.8048 1.2801 6.1045 1.2196 -4.3548 -0.8959 8.6897 -3.6312 -1.5144 -1.5305 -1.9532 1.6113 -2.4681 -0.6014 -9.578 7.6231 5.5787 2.5744 3.7367 -3.4906 -1.5535 4.0206 -2.6213 1.7758 -10.1287 5.8847 -3.8017 -4.973 3.9028 -5.3658 -5.3051 3.8019 -0.2192 -6.5053 5.0735 4.8384 -5.2561 4.5317 5.0918
"6" -21.1139 3.0455 1.4817 -1.0688 -1.4651 -6.3138 -4.8271 1.2874 -2.0922 -3.5546 6.6634 1.437 -5.1717 7.9171 -3.2725 1.8248 -0.2396 -8.7887 -1.8265 -0.7997 -1.3196 -2.7381 4.2453 2.9867 -0.3736 3.3356 0.6669 -6.5872 -2.7751 3.4805 -10.244 -5.7694 -6.2756 1.3541 1.9923 -2.3986 -2.8341 -0.7556 -3.3487 8.7203 -0.6342 -3.8786 3.5975 -3.0604 -2.4465 -5.8585 -6.715 -7.1251 1.6725 -4.2166 7.5217 -10.4286 0.4911 1.5181 -0.2936 0.2616 -1.247 5.0042 7.791 -6.2325 -1.6491 -5.285 0.5923 5.3117 8.0625 -1.4555 -0.8554 1.7449 1.4587 3.7052 -0.6254 1.8417 -3.3442 -0.3197 -4.2984 -5.3241 3.7032 6.1677 3.7694 0.2051 6.5138 -2.1206 11.6181 0.2413 -0.1877 -10.5178 6.4959 -5.5073 9.238 -4.9621 6.5966 -0.7556 -4.1137 -2.4619 3.3168 -5.4564 2.0154 -3.9117 -1.1119 5.7741 0.8812 3.2886 0.4571 6.8241 2.4023 -4.3555 0.7742 -2.0637 1.9261 -11.3219 3.5551 -0.0776 -3.4132 1.293 6.9275 -4.7221 -0.0378 -6.9453 10.5512 -0.265 -0.4842 4.9159 0.2616 5.1159 -3.6509 -0.926 -0.9542 -4.0755 2.4435 -3.3364 6.3163 4.2522 -1.3404 -3.8973 -2.7588 -1.0013 1.7091 -4.3504 4.2373 -3.0893 3.7583 6.6904 -1.1652 -2.9344 -6.5145 3.0545 -1.262 1.1521 3.473 8.5359 -7.804 7.4715 1.3591 -0.0039 10.6464 0.0782 1.787 -1.204 -2.7498 9.9652 -0.0215 2.3413 -1.3554 -2.0782 3.4695 6.7294 -4.3469 1.123 -3.0907 -6.2081 1.9676 1.9411 -0.6753 -3.5844 -2.7533 -6.8115 -1.4881 -2.3424 -4.1035 6.1509 -1.4569
"7" -3.4059 -5.5875 -0.1968 -2.5401 0.2708 -0.018 -5.5178 2.7045 -3.7155 -10.7422 2.313 2.3765 -13.1177 -3.7356 2.5592 -8.6602 1.8301 -3.2062 -3.5896 7.1912 1.5398 6.4157 2.6655 0.84 2.3904 0.2284 -4.0417 -1.9093 -2.7807 4.0976 3.7286 7.8625 -8.1044 2.492 4.2125 -1.9634 3.5765 8.4705 -2.3355 2.1253 3.3873 8.4069 3.6147 -11.6215 0.1671 -3.894 8.4818 -2.4341 -10.5505 5.04 4.6361 -2.9293 2.6889 7.8261 -3.6597 0.9712 6.8539 -4.7759 -1.8655 -4.6334 -5.1956 -4.4826 -0.5124 4.234 3.8039 -0.2744 -2.7939 -1.3186 -3.6099 0.2362 2.9534 -1.9323 -4.6492 3.9793 -11.2275 7.8111 -4.8772 -2.7214 0.3194 10.0845 11.2485 -2.8208 -3.3703 -3.3559 1.2787 -0.1031 0.1602 7.6052 0.446 2.8906 -3.4807 1.5744 -4.037 -0.1714 3.1677 8.5974 6.6131 -0.2324 -7.7342 5.9115 -0.2291 0.0517 -6.7543 -1.9294 6.5585 0.2354 2.3675 4.1723 3.7841 -2.9706 0.5498 0.691 2.9705 0.8326 2.1112 2.6584 0.1092 -0.5816 -2.5657 2.473 -1.3402 -0.7366 2.6339 -1.5546 5.0522 7.8113 6.5404 -3.6834 4.0502 -1.3532 0.1703 2.4883 3.6777 -5.5411 -9.2513 7.6525 -1.0395 -0.8799 8.2646 -6.8431 6.1311 -3.0702 0.4153 -1.8343 4.025 3.4489 -2.2212 3.4317 0.423 6.2959 -5.8158 -5.0844 0.8206 -2.5826 4.3254 1.8178 5.2463 -2.8658 -1.5796 7.2134 2.9377 3.2201 1.4473 -4.0488 -5.1156 1.7879 3.0817 -1.1972 -2.0151 5.2854 -2.1494 -6.281 1.4174 9.0021 -5.3566 4.695 4.2315 -5.4874 -0.5178 0.2584 3.2646
"8" -18.6842 -4.5581 -4.0237 0.3454 -3.1863 5.912 6.533 -4.9574 0.1391 -2.987 -0.8586 6.3883 7.7144 3.0777 -3.6871 -4.9555 1.7458 -4.9842 -0.0738 -2.3505 -8.943 -0.9753 5.5918 2.7845 2.0514 -1.9897 -1.1361 -3.1281 1.111 -0.9123 -4.6614 2.1532 -5.2418 1.2437 -1.1409 8.9539 -5.5281 0.0381 11.7903 0.6531 -4.7246 3.035 -0.007 -1.9354 -4.5676 0.3505 -6.3669 -6.9414 -2.0949 -1.8096 -1.5696 -8.6303 9.7726 2.3448 -2.0608 6.6039 -2.9174 6.2937 0.677 -1.4937 -1.9232 -2.1748 -7.6539 -4.0292 -0.9342 0.266 -3.9326 1.6183 2.5179 1.6659 0.163 5.2241 3.0903 1.1468 -1.2712 -0.1386 -1.8648 -0.7216 -1.7046 -1.2713 0.329 -0.515 -6.4302 -6.8741 -5.4782 -6.5238 -2.1017 1.6941 -5.5354 -2.3201 -3.1227 -6.5919 -3.5818 -6.0074 1.8291 -1.4636 1.2194 8.1757 -5.1739 8.3267 -5.4166 -1.1109 2.5262 1.2133 -0.2971 3.3298 -3.1241 -3.1547 6.782 1.5314 -2.1595 -0.1246 -0.6693 -2.469 -5.9699 1.2986 3.4859 -7.0541 5.5157 -0.1073 3.9028 0.1681 2.6266 -13.0493 -5.2005 -2.2342 -3.0445 7.6441 -0.2518 -3.1419 -1.4211 2.5312 1.5855 4.062 -11.5741 -0.6296 -7.6419 0.114 -11.1485 0.7558 1.386 -5.9244 8.7053 1.256 -2.9957 -2.2387 -1.4833 6.1252 -0.0097 5.1944 -2.5042 3.1221 4.5504 4.4267 2.0975 -3.532 8.2051 2.9379 0.7713 2.5413 2.7129 1.5152 -5.5464 -0.3633 2.1497 -4.334 0.6664 7.82 -4.96 -3.4547 4.6707 4.2846 2.6739 -0.2687 1.2144 3.3006 -0.3062 1.4642 10.2127 5.6566 -3.3389
"9" 13.5973 -8.3267 -3.9311 2.5328 2.5898 -6.1342 1.1243 2.4969 -5.8489 5.6588 3.5175 -2.3627 1.7242 -3.6988 4.3032 5.7391 -4.2881 7.616 1.5831 -1.6049 0.342 -0.4829 -2.2798 -7.8169 -4.9054 1.2154 -1.886 8.9119 -2.941 -4.1333 6.1562 -9.3399 3.9173 -7.0587 -0.7648 4.3468 7.4436 -2.6224 0.7689 4.7008 4.5397 -0.4333 4.4947 1.9107 -3.1024 -0.9732 0.4898 -5.875 -1.7446 -5.1512 -3.8732 4.9566 0.6271 2.891 -1.2062 5.9553 -2.154 3.0088 4.453 -1.6563 -2.7269 0.3064 5.4797 4.3856 2.1269 4.7278 4.6793 0.0106 -9.5488 -6.5702 0.7581 -3.4767 7.022 4.879 2.8232 -3.8231 -0.2561 5.5983 1.909 -4.0517 -3.3879 4.9922 -1.1849 8.1756 6.4881 3.1556 2.2698 -4.3316 0.109 -1.0172 5.3838 -3.7066 -4.3869 -0.5684 -3.2728 -0.5278 1.1452 -1.6578 -1.6522 -2.877 -6.6344 -3.725 -0.1248 4.9787 1.0935 0.33 -4.1609 -4.2242 1.0938 -4.899 3.2828 -5.1566 0.8195 3.7034 4.2126 -2.5776 0.5395 1.5924 2.1918 -3.165 -2.9249 2.1923 -4.6377 7.9167 4.2291 -2.4586 -1.6482 1.2565 6.7691 4.7688 2.6139 2.8928 -1.6595 -0.8194 3.4718 -2.783 -5.4374 -6.32 3.7403 5.5571 6.1948 -0.0724 3.9443 -1.2129 4.3386 -1.073 -1.9162 -5.1376 2.6256 5.1747 2.6851 0.3066 -0.467 -6.6939 -2.9093 0.4344 -2.9629 -4.9916 -1.1361 -1.0316 -5.3377 2.7841 2.698 0.6313 -7.985 5.0537 -1.6756 0.2001 -1.4555 2.6515 -1.8595 -2.7954 7.2223 6.5406 0.6413 -0.8453 5.536 2.6402 1.7629 5.4528 -4.4599
"10" -37.5931 -3.6266 -4.3937 -0.1047 -8.1911 -9.3643 5.882 3.2254 -4.3954 -4.9848 -8.7874 -7.0068 -0.3751 -1.1057 0.4851 0.0507 -7.082 -2.8124 0.1684 -0.3228 4.0918 -0.0774 5.5059 5.26 -8.0864 2.8394 7.1929 3.5705 5.2613 1.1634 -0.7556 -0.6223 -5.7118 -6.8645 2.5949 1.3037 1.414 0.3482 -4.3507 -6.9364 3.5082 2.0899 2.6712 -0.0461 -3.1095 3.9702 6.8741 -0.4285 0.64 -0.7806 3.956 0.7029 11.6838 5.0316 -5.2676 5.0711 -2.1287 -0.6559 0.7206 -2.0563 3.0612 2.0722 -3.4623 3.0407 1.1366 -8.5914 6.0071 -6.1952 6.4716 -5.3108 -3.4745 4.811 -5.0619 1.5801 4.0764 -5.5607 8.3453 2.8928 5.7942 -1.1562 0.7179 3.2236 -0.7325 -3.1425 -1.9438 0.0641 3.444 -0.9811 -6.1149 4.9746 -0.27 -0.7606 -0.1035 -1.1048 -1.6762 -0.2407 -0.3782 0.9516 2.8874 2.641 -3.9592 1.3476 -4.1714 -2.1459 6.2153 5.9027 1.3196 2.5202 5.6084 5.1443 -1.3924 -1.4887 -1.2635 1.7791 -2.051 -1.9387 3.2713 -0.4863 4.5999 0.0527 2.8155 3.3968 -6.1869 1.6582 0.3378 -1.1396 -0.8309 -5.6607 5.548 0.0774 1.2989 4.2954 -3.0494 -4.0647 -3.4331 -14.3843 -1.2451 1.8413 -3.4903 6.2263 4.9922 3.1398 -1.7682 -7.4208 -0.6184 -6.3157 3.6488 4.9554 3.8848 -4.7901 1.5377 -2.7552 3.2282 0.8043 9.9554 6.4033 1.5213 4.8611 4.3816 2.8885 -7.1545 3.7542 -1.8291 -6.1332 3.2744 -4.581 1.7721 1.7398 3.5936 -7.6191 -1.7756 1.1859 -1.0494 -4.8179 2.4611 -2.0094 -4.3592 -2.9564 2.5905 -0.3097 4.551
